,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,no,no2,nox,o3,pm10,pm2.5,so2,data
118,2012-01-12,NA,NA,750.833.333.333.333,NA,NA,902.083.333.333.333,13.7,4.8,NA,1049,621005,168.919.734.945.773,NA,68.83,65.72,170.5,NA,NA,NA,NA,2012-01-12
119,2012-01-13,NA,NA,649.583.333.333.333,NA,NA,7.2,13.4,3.2,NA,916,541464,169.170.988.283.616,NA,40.67,60.12,122.08,NA,NA,NA,NA,2012-01-13
120,2012-01-14,NA,NA,668.333.333.333.333,NA,NA,713.333.333.333.333,11.4,3.4,NA,207,145443,142.323.796.951.383,NA,39.54,51,111.12,NA,NA,NA,NA,2012-01-14
121,2012-01-15,NA,NA,722.083.333.333.333,NA,NA,8.25,10.6,6.7,NA,151,101482,148.794.860.172.247,NA,32.46,54,103.25,NA,NA,NA,NA,2012-01-15
122,2012-01-16,NA,NA,702.083.333.333.333,NA,NA,954.583.333.333.333,11.3,7,NA,1574,831792,189.229.999.807.644,NA,30.62,55.17,101.79,NA,NA,NA,NA,2012-01-16
123,2012-01-17,NA,NA,71.25,NA,NA,108.041.666.666.667,13.7,7.4,NA,1272,684577,185.808.170.592.935,NA,29.54,59.71,104.71,NA,NA,NA,NA,2012-01-17
124,2012-01-18,NA,NA,709.166.666.666.667,NA,NA,837.083.333.333.334,12.4,5.3,NA,1195,679011,175.991.257.873.584,NA,56.88,66.42,152.96,NA,NA,NA,NA,2012-01-18
125,2012-01-19,NA,NA,65,NA,NA,910.416.666.666.667,14.2,3.7,NA,1090,633705,172.004.323.778.414,NA,61.5,63.62,157.25,NA,NA,NA,NA,2012-01-19
126,2012-01-20,NA,NA,670.833.333.333.333,NA,NA,106.416.666.666.667,15,7.5,NA,1107,587070,18.856.354.438.142,NA,70.5,65,172.42,NA,NA,NA,NA,2012-01-20
127,2012-01-21,NA,NA,676.666.666.666.667,NA,NA,10.275,15.8,7.3,NA,200,129335,154.637.182.510.535,NA,42.83,60.5,125.71,NA,NA,NA,NA,2012-01-21
128,2012-01-22,NA,NA,694.166.666.666.667,NA,NA,114.041.666.666.667,16.5,7.6,NA,126,88890,141.748.228.147.148,NA,35.17,46.5,99.75,NA,NA,NA,NA,2012-01-22
129,2012-01-23,NA,NA,710.833.333.333.333,NA,NA,10.8875,15.8,8.3,NA,1791,892757,200.614.500.922.423,NA,39.79,58.79,119.33,NA,NA,NA,NA,2012-01-23
130,2012-01-24,NA,NA,705.833.333.333.333,NA,NA,10.3375,14.1,7.6,NA,1312,686578,191.092.636.233.611,NA,49.48,61,136.43,NA,NA,NA,NA,2012-01-24
131,2012-01-25,NA,NA,702.916.666.666.667,NA,NA,954.166.666.666.666,15.3,5.7,NA,1345,736498,182.620.998.291.917,NA,74.04,73,185.67,NA,NA,NA,NA,2012-01-25
132,2012-01-26,NA,NA,746.666.666.666.667,NA,NA,910.833.333.333.333,13.8,4.2,NA,1345,741333,181.429.937.693.317,NA,68.5,70.29,174.83,NA,NA,NA,NA,2012-01-26
133,2012-01-27,NA,NA,674.166.666.666.667,NA,NA,106.416.666.666.667,12.7,8.4,NA,1182,593431,199.180.696.660.606,NA,39.29,59.04,118.42,NA,NA,NA,NA,2012-01-27
134,2012-01-28,NA,NA,802.916.666.666.667,NA,NA,863.333.333.333.333,10,7.4,NA,258,169549,152.168.399.695.663,NA,27.79,55.04,97.33,NA,NA,NA,NA,2012-01-28
135,2012-01-29,NA,NA,635.416.666.666.667,NA,NA,715.833.333.333.333,9.7,4.7,NA,145,99723,145.402.765.660.881,NA,12.5,40.46,59.17,NA,NA,NA,NA,2012-01-29
